Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
trip time mode i[a72,car],54.0159,54.2062,54.4097,55.3034,56.2534,56.8468,57.4646,57.9749,58.5608,59.6059,60.6179,61.412,62.1681,63.2535,64.467,65.5569,67.2505,69.0125,70.6954,72.9388,75.1038,77.7202,81.0757,85.2337,86.605,89.2475,90.8739,92.6034,94.4353,96.3471,98.3503
trip time mode i[a73,car],52.7474,53.0609,53.7866,55.2213,56.767,58.014,59.2295,60.1391,60.8744,61.9213,62.8729,63.61,64.3143,65.2505,66.2512,67.1431,68.3997,69.3463,70.3501,71.4378,72.1329,72.9682,73.8637,74.8069,75.6749,76.5525,77.4923,78.5043,79.5726,80.703,81.8991
trip time mode i[a74,car],46.4932,46.8258,47.3978,48.4013,49.543,50.4226,51.238,52.0576,52.772,53.6566,54.4893,55.112,55.7241,56.5111,57.3808,58.1059,59.1797,59.9383,60.5876,61.7454,62.6147,63.5537,64.4865,65.3676,66.3642,67.361,68.4541,69.6679,70.9903,72.4239,73.9865
trip time mode i[a75,car],41.9081,42.2421,42.6054,43.2908,44.062,44.6201,45.0927,45.5429,45.9142,46.3669,46.7854,47.069,47.3682,47.7596,48.2032,48.564,49.0671,49.4151,49.7569,50.1754,50.515,50.85,51.2283,51.6298,52.0263,52.4399,52.8924,53.3847,53.908,54.4483,55.0037
trip time mode i[a76,car],44.2642,44.6758,45.1433,45.9995,46.9351,47.6088,48.1855,48.7221,49.1624,49.6908,50.2445,50.6606,50.9904,51.3321,52.021,52.4649,53.143,53.5974,54.0416,54.5943,55.0487,55.5032,56.021,56.5775,57.1354,57.7208,58.3616,59.0629,59.8139,60.6113,61.4659
trip time mode i[a77,car],44.2021,44.4956,44.9353,45.6851,46.5389,47.1531,47.6991,48.2079,48.6576,49.2306,49.7704,50.1664,50.5349,51.0374,51.5749,52.0219,52.668,52.969,53.6397,54.1781,54.6955,55.1161,55.6228,56.1716,56.7196,57.298,57.9314,58.6249,59.3477,60.1089,60.9272
trip time mode i[a78,car],47.0931,47.5509,47.985,48.9612,50.0668,50.9031,51.5641,52.2432,52.8109,53.5913,54.3144,54.854,55.217,56.2678,57.146,57.8757,58.7865,59.4041,60.0932,60.929,61.6273,62.3328,63.1513,64.0387,64.9398,65.9099,66.9407,68.0589,69.2796,70.5913,71.9977
trip time mode i[a79,car],49.8533,50.242,50.7034,51.8253,53.0216,53.8787,54.6622,55.3432,55.9449,56.7608,57.6539,58.4254,59.0901,59.9752,60.9463,61.7902,63.0539,64.0258,64.9828,66.1605,67.0033,68.4188,69.7233,71.4539,72.6244,74.0549,75.7332,77.5284,79.473,81.6321,84.0382
trip time mode i[a80,car],48.3859,48.765,49.3641,50.3706,51.4562,52.2197,52.8923,53.4494,53.9207,54.5044,55.1615,55.7388,56.2548,56.9335,57.6803,58.3524,59.3214,60.0738,60.8545,61.7845,62.6276,63.43,64.3136,65.3728,66.5533,67.5737,68.6632,69.991,71.45,73.0011,74.7094
trip time mode i[a81,car],52.709,53.1611,53.9244,55.1907,56.5593,57.5432,58.397,59.1625,59.7938,60.6091,61.4533,62.1572,62.8,63.6861,64.6098,65.4369,66.6487,67.5777,68.6013,69.767,70.4095,71.986,73.4282,75.4883,76.3562,77.66,79.2677,81.037,82.9712,85.1339,86.4705
trip time mode i[a82,car],51.8614,52.272,53.079,54.134,55.3061,56.1217,56.7989,57.3892,57.8893,58.5209,59.1718,59.7043,60.1868,60.8464,61.6013,62.2106,63.0974,63.7529,64.4675,65.3223,66.0831,66.5854,67.7559,68.9331,70.549,71.2834,72.021,73.1911,74.4732,75.8455,77.345
trip time mode i[a83,car],49.1464,49.4195,50.0082,50.8643,51.8331,52.5926,53.2711,53.9752,54.4665,54.9377,55.2143,55.6484,55.8774,56.2587,56.5965,56.8752,57.2692,57.4606,57.6473,57.8904,58.0275,58.1407,58.2762,58.4045,58.5047,58.5997,58.6935,58.7948,58.8961,58.9911,59.0818
trip time mode i[a84,car],141.707,142.383,143.349,146.811,151.337,155.864,160.051,164.385,167.779,171.443,174.723,177.565,179.453,181.705,184.011,186.17,189.199,191.303,193.538,195.808,197.772,199.725,201.718,203.729,205.749,207.502,209.192,210.961,212.797,214.699,216.619
trip time mode i[a85,car],48.7538,49.0324,49.4823,50.5638,51.6612,52.6332,53.591,54.5412,55.3601,56.3193,57.2621,58.1776,59.0232,60.0256,61.2753,62.3544,63.6528,64.4844,64.9287,65.3394,65.5912,65.8186,66.0801,66.3261,66.5229,66.722,66.9359,67.17,67.4109,67.6535,67.8985
